Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 00:00:00 GMT-0500 (Eastern Standard Time)","0:57","0:47","1:06","0:44","1:13"
"Mon Feb 13 2017 00:05:00 GMT-0500 (Eastern Standard Time)","0:55","0:47","1:05","0:44","1:10"
"Mon Feb 13 2017 00:10:00 GMT-0500 (Eastern Standard Time)","0:55","0:47","1:05","0:44","1:10"
"Mon Feb 13 2017 00:15:00 GMT-0500 (Eastern Standard Time)","0:55","0:47","1:05","0:40","1:11"
"Mon Feb 13 2017 00:20:00 GMT-0500 (Eastern Standard Time)","0:54","0:47","1:05","0:40","1:12"
"Mon Feb 13 2017 00:25:00 GMT-0500 (Eastern Standard Time)","0:53","0:47","1:05","0:40","1:11"
"Mon Feb 13 2017 00:30:00 GMT-0500 (Eastern Standard Time)","0:54","0:47","1:04","0:40","1:11"
"Mon Feb 13 2017 00:35:00 GMT-0500 (Eastern Standard Time)","0:54","0:46","1:05","0:40","1:12"
"Mon Feb 13 2017 00:40:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:02","0:40","1:05"
"Mon Feb 13 2017 00:45:00 GMT-0500 (Eastern Standard Time)","0:53","0:45","1:02","0:40","1:06"
"Mon Feb 13 2017 00:50:00 GMT-0500 (Eastern Standard Time)","0:53","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 00:55:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 01:00:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 01:05:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 01:10:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:00","0:40","1:03"
"Mon Feb 13 2017 01:15:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","1:00","0:40","1:02"
"Mon Feb 13 2017 01:20:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","0:58","0:40","1:02"
"Mon Feb 13 2017 01:25:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","0:59","0:40","1:01"
"Mon Feb 13 2017 01:30:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","0:57","0:40","1:01"
"Mon Feb 13 2017 01:35:00 GMT-0500 (Eastern Standard Time)","0:47","0:45","0:54","0:40","1:00"
"Mon Feb 13 2017 01:40:00 GMT-0500 (Eastern Standard Time)","0:47","0:45","0:54","0:40","1:00"
"Mon Feb 13 2017 01:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 01:50:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 01:55:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:00:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:05:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:10:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:15:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:20:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:25:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:30:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:35:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:51","0:36","0:58"
"Mon Feb 13 2017 02:40:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:36","0:58"
"Mon Feb 13 2017 02:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:38","0:58"
"Mon Feb 13 2017 02:50:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:51","0:37","0:58"
"Mon Feb 13 2017 02:55:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:00:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","0:59"
"Mon Feb 13 2017 03:05:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","0:59"
"Mon Feb 13 2017 03:10:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","0:59"
"Mon Feb 13 2017 03:15:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:20:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:25:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:30:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:35:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:40:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:36","0:59"
"Mon Feb 13 2017 03:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:36","0:59"
"Mon Feb 13 2017 03:50:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:36","0:59"
"Mon Feb 13 2017 03:55:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:36","0:59"
"Mon Feb 13 2017 04:00:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:49","0:36","0:59"
"Mon Feb 13 2017 04:05:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:49","0:36","0:59"
"Mon Feb 13 2017 04:10:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:49","0:39","0:58"
"Mon Feb 13 2017 04:15:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:49","0:39","0:58"
"Mon Feb 13 2017 04:20:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:49","0:39","0:55"
"Mon Feb 13 2017 04:25:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:46","0:37","0:54"
"Mon Feb 13 2017 04:30:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:46","0:37","0:54"
"Mon Feb 13 2017 04:35:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:45","0:39","0:53"
"Mon Feb 13 2017 04:40:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:45","0:39","0:53"
"Mon Feb 13 2017 04:45:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:39","0:53"
"Mon Feb 13 2017 04:50:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:37","0:54"
"Mon Feb 13 2017 04:55:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:36","0:54"
"Mon Feb 13 2017 05:00:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:36","0:54"
"Mon Feb 13 2017 05:05:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:36","0:54"
"Mon Feb 13 2017 05:10:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:38","0:54"
"Mon Feb 13 2017 05:15:00 GMT-0500 (Eastern Standard Time)","0:42","0:43","0:45","0:40","0:53"
"Mon Feb 13 2017 05:20:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:40","0:53"
"Mon Feb 13 2017 05:25:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:40","0:53"
"Mon Feb 13 2017 05:30:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:40","0:54"
"Mon Feb 13 2017 05:35:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:39","0:54"
"Mon Feb 13 2017 05:40:00 GMT-0500 (Eastern Standard Time)","0:43","0:44","0:47","0:39","0:56"
"Mon Feb 13 2017 05:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","1:00"
"Mon Feb 13 2017 05:50:00 GMT-0500 (Eastern Standard Time)","0:46","0:47","0:54","0:40","1:01"
"Mon Feb 13 2017 05:55:00 GMT-0500 (Eastern Standard Time)","0:49","0:49","0:56","0:41","1:01"
"Mon Feb 13 2017 06:00:00 GMT-0500 (Eastern Standard Time)","0:49","0:49","0:57","0:40","1:03"
"Mon Feb 13 2017 06:05:00 GMT-0500 (Eastern Standard Time)","0:50","0:49","0:59","0:40","1:04"
"Mon Feb 13 2017 06:10:00 GMT-0500 (Eastern Standard Time)","0:55","0:50","1:02","0:43","1:06"
"Mon Feb 13 2017 06:15:00 GMT-0500 (Eastern Standard Time)","1:00","0:51","1:03","0:45","1:08"
"Mon Feb 13 2017 06:20:00 GMT-0500 (Eastern Standard Time)","1:01","0:51","1:04","0:47","1:08"
"Mon Feb 13 2017 06:25:00 GMT-0500 (Eastern Standard Time)","1:03","0:51","1:05","0:48","1:10"
"Mon Feb 13 2017 06:30:00 GMT-0500 (Eastern Standard Time)","1:03","0:52","1:05","0:49","1:13"
"Mon Feb 13 2017 06:35:00 GMT-0500 (Eastern Standard Time)","1:02","0:56","1:09","0:51","1:16"
"Mon Feb 13 2017 06:40:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:12","0:52","1:19"
"Mon Feb 13 2017 06:45:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:17","0:55","1:22"
"Mon Feb 13 2017 06:50:00 GMT-0500 (Eastern Standard Time)","1:08","1:01","1:21","0:59","1:28"
"Mon Feb 13 2017 06:55:00 GMT-0500 (Eastern Standard Time)","1:16","1:01","1:29","1:00","1:39"
"Mon Feb 13 2017 07:00:00 GMT-0500 (Eastern Standard Time)","1:13","1:01","1:21","1:00","1:33"
"Mon Feb 13 2017 07:05:00 GMT-0500 (Eastern Standard Time)","1:10","1:01","1:21","1:00","1:32"
"Mon Feb 13 2017 07:10:00 GMT-0500 (Eastern Standard Time)","1:13","1:02","1:25","1:00","1:36"
"Mon Feb 13 2017 07:15:00 GMT-0500 (Eastern Standard Time)","1:14","1:03","1:30","1:00","1:35"
"Mon Feb 13 2017 07:20:00 GMT-0500 (Eastern Standard Time)","1:10","1:02","1:20","1:00","1:34"
"Mon Feb 13 2017 07:25:00 GMT-0500 (Eastern Standard Time)","1:10","1:03","1:20","1:00","1:38"
"Mon Feb 13 2017 07:30:00 GMT-0500 (Eastern Standard Time)","1:09","1:02","1:14","0:54","1:32"
"Mon Feb 13 2017 07:35:00 GMT-0500 (Eastern Standard Time)","1:08","1:02","1:15","0:53","1:29"
"Mon Feb 13 2017 07:40:00 GMT-0500 (Eastern Standard Time)","1:10","1:04","1:25","0:53","1:35"
"Mon Feb 13 2017 07:45:00 GMT-0500 (Eastern Standard Time)","1:19","1:10","1:33","0:58","1:43"
"Mon Feb 13 2017 07:50:00 GMT-0500 (Eastern Standard Time)","1:25","1:16","1:32","1:00","1:41"
"Mon Feb 13 2017 07:55:00 GMT-0500 (Eastern Standard Time)","1:28","1:19","1:30","1:04","1:38"
"Mon Feb 13 2017 08:00:00 GMT-0500 (Eastern Standard Time)","1:31","1:28","1:33","1:22","1:48"
"Mon Feb 13 2017 08:05:00 GMT-0500 (Eastern Standard Time)","1:34","1:31","1:32","1:30","1:50"
"Mon Feb 13 2017 08:10:00 GMT-0500 (Eastern Standard Time)","1:36","1:36","1:32","1:30","1:53"
"Mon Feb 13 2017 08:15:00 GMT-0500 (Eastern Standard Time)","1:40","1:47","1:38","1:30","2:03"
"Mon Feb 13 2017 08:20:00 GMT-0500 (Eastern Standard Time)","1:37","1:41","1:36","1:28","2:01"
"Mon Feb 13 2017 08:25:00 GMT-0500 (Eastern Standard Time)","1:35","1:36","1:36","1:24","2:01"
"Mon Feb 13 2017 08:30:00 GMT-0500 (Eastern Standard Time)","1:47","1:46","1:48","1:27","2:04"
"Mon Feb 13 2017 08:35:00 GMT-0500 (Eastern Standard Time)","1:46","1:41","1:52","1:25","2:01"
"Mon Feb 13 2017 08:40:00 GMT-0500 (Eastern Standard Time)","1:39","1:31","1:51","1:17","2:01"
"Mon Feb 13 2017 08:45:00 GMT-0500 (Eastern Standard Time)","1:40","1:28","1:54","1:15","2:01"
"Mon Feb 13 2017 08:50:00 GMT-0500 (Eastern Standard Time)","1:40","1:25","1:54","1:14","2:01"
"Mon Feb 13 2017 08:55:00 GMT-0500 (Eastern Standard Time)","1:33","1:19","1:50","1:09","1:59"
"Mon Feb 13 2017 09:00:00 GMT-0500 (Eastern Standard Time)","1:31","1:14","1:47","1:07","1:55"
"Mon Feb 13 2017 09:05:00 GMT-0500 (Eastern Standard Time)","1:30","1:10","1:42","1:02","1:50"
"Mon Feb 13 2017 09:10:00 GMT-0500 (Eastern Standard Time)","1:21","1:05","1:34","0:55","1:42"
"Mon Feb 13 2017 09:15:00 GMT-0500 (Eastern Standard Time)","1:20","1:03","1:31","0:54","1:36"
"Mon Feb 13 2017 09:20:00 GMT-0500 (Eastern Standard Time)","1:20","1:02","1:29","0:54","1:36"
"Mon Feb 13 2017 09:25:00 GMT-0500 (Eastern Standard Time)","1:19","1:01","1:22","0:54","1:33"
"Mon Feb 13 2017 09:30:00 GMT-0500 (Eastern Standard Time)","1:15","1:01","1:16","0:53","1:23"
"Mon Feb 13 2017 09:35:00 GMT-0500 (Eastern Standard Time)","1:15","1:00","1:14","0:51","1:22"
"Mon Feb 13 2017 09:40:00 GMT-0500 (Eastern Standard Time)","1:19","1:01","1:17","0:51","1:27"
"Mon Feb 13 2017 09:45:00 GMT-0500 (Eastern Standard Time)","1:16","1:01","1:13","0:51","1:23"
"Mon Feb 13 2017 09:50:00 GMT-0500 (Eastern Standard Time)","1:11","1:02","1:09","0:52","1:18"
"Mon Feb 13 2017 09:55:00 GMT-0500 (Eastern Standard Time)","1:05","1:00","1:04","0:49","1:11"
"Mon Feb 13 2017 10:00:00 GMT-0500 (Eastern Standard Time)","1:01","0:59","1:01","0:45","1:03"
"Mon Feb 13 2017 10:05:00 GMT-0500 (Eastern Standard Time)","1:00","0:57","1:01","0:44","1:02"
"Mon Feb 13 2017 10:10:00 GMT-0500 (Eastern Standard Time)","1:00","0:57","1:00","0:44","1:02"
"Mon Feb 13 2017 10:15:00 GMT-0500 (Eastern Standard Time)","1:00","0:57","1:00","0:44","1:02"
"Mon Feb 13 2017 10:20:00 GMT-0500 (Eastern Standard Time)","1:00","0:55","1:00","0:44","1:01"
"Mon Feb 13 2017 10:25:00 GMT-0500 (Eastern Standard Time)","0:59","0:52","0:59","0:44","1:00"
"Mon Feb 13 2017 10:30:00 GMT-0500 (Eastern Standard Time)","0:55","0:51","0:59","0:44","1:00"
"Mon Feb 13 2017 10:35:00 GMT-0500 (Eastern Standard Time)","0:55","0:51","0:59","0:44","1:00"
"Mon Feb 13 2017 10:40:00 GMT-0500 (Eastern Standard Time)","0:59","0:51","0:59","0:44","1:01"
"Mon Feb 13 2017 10:45:00 GMT-0500 (Eastern Standard Time)","1:01","0:56","1:02","0:45","1:06"
"Mon Feb 13 2017 10:50:00 GMT-0500 (Eastern Standard Time)","1:06","1:00","1:06","0:46","1:12"
"Mon Feb 13 2017 10:55:00 GMT-0500 (Eastern Standard Time)","1:05","1:01","1:06","0:45","1:13"
"Mon Feb 13 2017 11:00:00 GMT-0500 (Eastern Standard Time)","1:06","1:03","1:06","0:46","1:16"
"Mon Feb 13 2017 11:05:00 GMT-0500 (Eastern Standard Time)","1:04","1:00","1:05","0:46","1:07"
"Mon Feb 13 2017 11:10:00 GMT-0500 (Eastern Standard Time)","1:02","0:55","1:02","0:45","1:05"
"Mon Feb 13 2017 11:15:00 GMT-0500 (Eastern Standard Time)","1:01","0:54","1:01","0:45","1:06"
"Mon Feb 13 2017 11:20:00 GMT-0500 (Eastern Standard Time)","1:00","0:53","1:00","0:45","1:05"
"Mon Feb 13 2017 11:25:00 GMT-0500 (Eastern Standard Time)","1:00","0:54","1:00","0:46","1:05"
"Mon Feb 13 2017 11:30:00 GMT-0500 (Eastern Standard Time)","1:00","0:53","1:01","0:45","1:05"
"Mon Feb 13 2017 11:35:00 GMT-0500 (Eastern Standard Time)","1:00","0:58","1:02","0:45","1:11"
"Mon Feb 13 2017 11:40:00 GMT-0500 (Eastern Standard Time)","1:00","1:01","1:03","0:46","1:14"
"Mon Feb 13 2017 11:45:00 GMT-0500 (Eastern Standard Time)","0:59","1:01","1:03","0:49","1:08"
"Mon Feb 13 2017 11:50:00 GMT-0500 (Eastern Standard Time)","0:59","1:00","1:02","0:49","1:04"
"Mon Feb 13 2017 11:55:00 GMT-0500 (Eastern Standard Time)","0:57","1:00","1:02","0:48","1:09"
"Mon Feb 13 2017 12:00:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:04","0:50","1:16"
"Mon Feb 13 2017 12:05:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:04","0:51","1:17"
"Mon Feb 13 2017 12:10:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:02","0:51","1:15"
"Mon Feb 13 2017 12:15:00 GMT-0500 (Eastern Standard Time)","0:59","1:00","1:01","0:49","1:21"
"Mon Feb 13 2017 12:20:00 GMT-0500 (Eastern Standard Time)","0:56","0:57","1:02","0:47","1:20"
"Mon Feb 13 2017 12:25:00 GMT-0500 (Eastern Standard Time)","0:59","0:57","1:03","0:47","1:21"
"Mon Feb 13 2017 12:30:00 GMT-0500 (Eastern Standard Time)","0:58","0:56","1:00","0:46","1:14"
"Mon Feb 13 2017 12:35:00 GMT-0500 (Eastern Standard Time)","0:54","0:54","0:57","0:45","1:09"
"Mon Feb 13 2017 12:40:00 GMT-0500 (Eastern Standard Time)","0:54","0:53","1:00","0:45","1:09"
"Mon Feb 13 2017 12:45:00 GMT-0500 (Eastern Standard Time)","0:59","0:54","1:00","0:45","1:09"
"Mon Feb 13 2017 12:50:00 GMT-0500 (Eastern Standard Time)","1:00","0:57","1:00","0:45","1:10"
"Mon Feb 13 2017 12:55:00 GMT-0500 (Eastern Standard Time)","1:00","0:59","1:00","0:45","1:12"
"Mon Feb 13 2017 13:00:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:04","0:45","1:17"
"Mon Feb 13 2017 13:05:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:04","0:44","1:17"
"Mon Feb 13 2017 13:10:00 GMT-0500 (Eastern Standard Time)","1:01","0:57","1:04","0:44","1:14"
"Mon Feb 13 2017 13:15:00 GMT-0500 (Eastern Standard Time)","1:00","0:54","1:00","0:43","1:10"
"Mon Feb 13 2017 13:20:00 GMT-0500 (Eastern Standard Time)","1:00","0:55","1:00","0:43","1:09"
"Mon Feb 13 2017 13:25:00 GMT-0500 (Eastern Standard Time)","1:00","0:56","1:00","0:44","1:06"
"Mon Feb 13 2017 13:30:00 GMT-0500 (Eastern Standard Time)","1:00","0:58","1:00","0:43","1:07"
"Mon Feb 13 2017 13:35:00 GMT-0500 (Eastern Standard Time)","1:03","1:04","1:04","0:49","1:13"
"Mon Feb 13 2017 13:40:00 GMT-0500 (Eastern Standard Time)","1:05","1:07","1:06","0:53","1:25"
"Mon Feb 13 2017 13:45:00 GMT-0500 (Eastern Standard Time)","1:06","1:05","1:08","0:56","1:21"
"Mon Feb 13 2017 13:50:00 GMT-0500 (Eastern Standard Time)","1:06","1:06","1:07","0:55","1:23"
"Mon Feb 13 2017 13:55:00 GMT-0500 (Eastern Standard Time)","1:06","1:07","1:08","0:56","1:26"
"Mon Feb 13 2017 14:00:00 GMT-0500 (Eastern Standard Time)","1:04","1:04","1:10","0:58","1:26"
"Mon Feb 13 2017 14:05:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:10","0:58","1:21"
"Mon Feb 13 2017 14:10:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:13","0:58","1:21"
"Mon Feb 13 2017 14:15:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:14","0:58","1:21"
"Mon Feb 13 2017 14:20:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:15","0:57","1:25"
"Mon Feb 13 2017 14:25:00 GMT-0500 (Eastern Standard Time)","1:04","1:01","1:20","0:57","1:21"
"Mon Feb 13 2017 14:30:00 GMT-0500 (Eastern Standard Time)","1:04","1:01","1:20","0:56","1:21"
"Mon Feb 13 2017 14:35:00 GMT-0500 (Eastern Standard Time)","1:05","1:02","1:19","0:56","1:26"
"Mon Feb 13 2017 14:40:00 GMT-0500 (Eastern Standard Time)","1:04","1:01","1:16","0:53","1:20"
"Mon Feb 13 2017 14:45:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:14","0:51","1:20"
"Mon Feb 13 2017 14:50:00 GMT-0500 (Eastern Standard Time)","1:10","1:01","1:17","0:53","1:24"
"Mon Feb 13 2017 14:55:00 GMT-0500 (Eastern Standard Time)","1:09","1:01","1:12","0:53","1:21"
"Mon Feb 13 2017 15:00:00 GMT-0500 (Eastern Standard Time)","1:07","1:00","1:11","0:51","1:21"
"Mon Feb 13 2017 15:05:00 GMT-0500 (Eastern Standard Time)","1:04","0:58","1:09","0:49","1:15"
"Mon Feb 13 2017 15:10:00 GMT-0500 (Eastern Standard Time)","1:04","0:58","1:10","0:50","1:16"
"Mon Feb 13 2017 15:15:00 GMT-0500 (Eastern Standard Time)","1:10","1:00","1:16","0:53","1:28"
"Mon Feb 13 2017 15:20:00 GMT-0500 (Eastern Standard Time)","1:09","1:02","1:17","0:57","1:24"
"Mon Feb 13 2017 15:25:00 GMT-0500 (Eastern Standard Time)","1:21","1:05","1:24","0:59","1:35"
"Mon Feb 13 2017 15:30:00 GMT-0500 (Eastern Standard Time)","1:32","1:18","1:33","1:04","1:51"
"Mon Feb 13 2017 15:35:00 GMT-0500 (Eastern Standard Time)","1:42","1:26","1:49","1:10","2:06"
"Mon Feb 13 2017 15:40:00 GMT-0500 (Eastern Standard Time)","1:46","1:32","1:51","1:15","2:09"
"Mon Feb 13 2017 15:45:00 GMT-0500 (Eastern Standard Time)","1:39","1:30","1:44","1:15","2:05"
"Mon Feb 13 2017 15:50:00 GMT-0500 (Eastern Standard Time)","1:34","1:26","1:41","1:08","1:59"
